780.00	1.00	8.46	3.59	1.67	0.18
786.00	1.00	9.13	3.66	1.66	0.33
792.00	1.00	9.79	3.85	1.68	0.37
798.00	1.00	10.47	3.96	1.60	0.26
804.00	1.00	11.07	4.06	1.57	0.46
804.00	2.00	13.02	5.78	-2.32	-0.08
810.00	1.00	11.73	4.32	1.64	0.54
810.00	2.00	12.09	5.75	-1.59	-0.07
816.00	1.00	12.38	4.50	1.62	0.44
816.00	2.00	11.75	5.73	-1.14	0.11
822.00	2.00	11.18	5.84	-1.64	0.18
828.00	2.00	10.43	5.87	-1.41	0.42
834.00	3.00	12.27	6.67	-0.84	0.25
834.00	2.00	10.05	6.17	-1.08	0.46
840.00	3.00	11.94	6.77	-1.03	0.31
840.00	2.00	9.57	6.24	-1.21	0.12
846.00	5.00	-1.89	4.38	1.51	0.20
846.00	4.00	-1.71	5.13	1.48	-0.05
846.00	3.00	11.45	6.91	-1.39	0.04
846.00	2.00	9.08	6.26	-1.27	0.17
846.00	6.00	12.16	5.75	-1.22	0.26
852.00	5.00	-1.28	4.46	1.49	0.08
852.00	4.00	-1.12	5.11	1.47	-0.05
852.00	3.00	10.83	6.80	-1.32	-0.16
852.00	2.00	8.55	6.37	-1.23	0.27
852.00	6.00	11.67	5.85	-1.33	0.21
858.00	5.00	-0.69	4.44	1.50	-0.27
858.00	4.00	-0.53	5.09	1.51	-0.11
858.00	3.00	10.39	6.79	-1.23	0.08
858.00	2.00	8.10	6.48	-1.15	0.22
858.00	6.00	11.10	5.92	-1.45	0.07
864.00	5.00	-0.08	4.24	1.61	-0.27
864.00	4.00	0.09	5.02	1.62	-0.11
864.00	3.00	9.84	6.86	-1.30	0.08
864.00	2.00	7.64	6.55	-1.16	0.17
864.00	6.00	10.51	5.91	-1.38	-0.03
870.00	5.00	0.60	4.23	1.60	-0.09
870.00	4.00	0.76	5.00	1.59	-0.11
870.00	3.00	9.36	6.85	-1.12	-0.08
870.00	2.00	7.17	6.62	-1.13	0.12
870.00	6.00	10.00	5.89	-1.34	0.12
876.00	5.00	1.20	4.17	1.51	-0.15
876.00	4.00	1.36	4.93	1.50	-0.16
876.00	3.00	8.95	6.80	-1.18	0.02
876.00	2.00	6.73	6.64	-1.03	0.11
876.00	6.00	9.44	6.00	-1.36	0.17
882.00	5.00	1.80	4.11	1.55	-0.09
882.00	4.00	1.96	4.87	1.54	-0.11
882.00	3.00	8.41	6.87	-1.25	0.08
882.00	2.00	6.34	6.71	-0.93	0.16
882.00	6.00	8.91	6.03	-1.29	0.01
888.00	5.00	2.45	4.09	1.65	-0.09
888.00	4.00	2.60	4.85	1.58	-0.11
888.00	3.00	7.95	6.86	-1.22	-0.08
888.00	2.00	5.99	6.77	-0.93	0.27
888.00	6.00	8.41	6.02	-1.30	0.07
894.00	5.00	3.12	4.03	1.57	-0.09
894.00	4.00	3.22	4.78	1.50	-0.10
894.00	3.00	7.44	6.81	-1.23	-0.03
894.00	2.00	5.60	6.92	-0.94	0.27
894.00	6.00	7.87	6.08	-1.26	0.17
900.00	5.00	3.70	4.02	1.49	0.02
900.00	4.00	3.80	4.77	1.65	-0.11
900.00	3.00	6.96	6.84	-1.07	0.22
900.00	2.00	5.24	6.98	-0.73	0.15
900.00	6.00	7.40	6.15	-1.29	0.07
906.00	5.00	4.32	4.05	1.58	0.02
906.00	4.00	4.54	4.70	1.74	-0.11
906.00	3.00	6.58	6.98	-1.03	0.22
906.00	2.00	5.02	7.04	-0.55	0.30
906.00	6.00	6.84	6.14	-1.31	0.01
912.00	5.00	4.96	4.04	1.56	0.02
912.00	4.00	5.19	4.68	1.54	0.01
912.00	3.00	6.14	7.01	-1.05	0.12
912.00	2.00	4.80	7.22	-0.59	0.68
912.00	6.00	6.36	6.16	-1.21	0.11
918.00	5.00	5.56	4.07	1.47	0.02
